date,username,score,wave
"2022-09-19 20:54:59.781258","jtayped",20,1
"2022-09-28 12:53:42.638953","jtayped",125,3
"2022-09-28 12:55:17.156232","jtayped",132,3
"2022-09-28 12:56:33.180242","jtayped",133,3
"2022-09-28 12:57:12.168272","jtayped",67,2
"2022-09-28 12:57:57.692345","jtayped",135,3
"2022-09-28 12:59:20.909154","jtayped",129,3
"2022-09-28 13:10:15.633967","jtayped",42,1
"2022-09-28 13:11:13.878021","jtayped",151,3
"2022-09-28 13:34:05.229705","jtayped",27,1
"2022-09-29 10:27:29.048857","jtayped",130,3
"2022-09-29 10:27:37.187070","jtayped",22,1
"2022-09-29 10:28:24.485819","jtayped",144,3
"2022-09-29 10:29:06.429758","jtayped",127,3
"2022-09-29 10:30:51.400258","jtayped",143,3
"2022-09-29 10:31:21.401450","jtayped",79,2
"2022-09-29 10:31:28.798116","jtayped",20,1
"2022-09-29 10:31:41.632323","jtayped",25,1
"2022-09-29 10:31:47.716606","jtayped",16,1
"2022-09-29 10:32:12.840107","jtayped",75,2
"2022-09-29 10:33:05.232846","jtayped",148,3
"2022-09-29 10:33:13.385581","jtayped",23,1
"2022-09-29 10:45:32.980168","jtayped",157,3
"2022-09-29 10:46:20.210433","jtayped",17,1
"2022-09-29 10:47:44.586661","jtayped",144,3
"2022-09-29 10:48:55.204339","jtayped",214,4
"2022-09-29 10:50:23.217658","jtayped",86,2
"2022-09-29 18:32:41.811237","jtayped",15,1
"2022-09-29 18:32:51.000102","jtayped",28,1
"2022-09-29 18:33:02.495156","jtayped",35,1
"2022-09-29 18:33:17.208354","jtayped",31,1
"2022-09-29 18:33:52.661574","jtayped",109,2
"2022-09-29 18:34:49.978851","jtayped",177,3
"2022-09-29 18:35:55.404229","jtayped",173,3
"2022-09-29 18:36:04.708629","jtayped",28,1
"2022-09-29 21:00:06.560471","jtayped",21,1
"2022-09-29 21:01:18.033649","jtayped",66,1
"2022-09-29 21:03:26.707470","jtayped",108,2
"2022-09-29 21:05:14.363219","jtayped",26,1
"2022-09-29 21:08:02.843997","jtayped",41,1
"2022-09-29 21:09:25.112543","jtayped",255,5
"2022-09-29 21:39:44.602794","jtayped",15,1
"2022-09-29 21:53:06.828318","jtayped",86,2
"2022-09-29 21:53:23.349283","jtayped",51,1
"2022-09-29 21:53:30.480017","jtayped",22,1
"2022-09-29 21:53:44.077604","jtayped",42,1
"2022-09-29 21:54:15.918490","jtayped",98,2
"2022-09-30 09:16:40.750620","jtayped",173,3
"2022-09-30 09:18:06.329405","jtayped",181,4
"2022-09-30 09:19:02.007436","jtayped",79,2
"2022-09-30 09:19:54.732016","jtayped",154,3
"2022-09-30 09:24:39.184331","jtayped",146,3
"2022-09-30 09:26:13.600411","jtayped",127,3
"2022-09-30 09:27:20.130178","jtayped",66,4
"2022-09-30 09:28:44.667721","jtayped",70,4
"2022-09-30 09:29:12.497752","jtayped",79,5
"2022-09-30 09:33:58.476861","jtayped",166,3
"2022-09-30 09:35:04.223247","jtayped",193,4
